unit_id,model,question_id,template,gold_type,question,gold_item,relation_asked,gold_edge,full_gold_set,model_answer,human_asserted,human_required_or_alternative,human_confidence,human_quote,human_notes
qwen-2.5-72b|q0073|0,qwen-2.5-72b,q0073,T-REL,all,"According to the DreamLab knowledge graph, what does Across Protocol enable?",Cross Chain Asset Transfer,enables (enables),Across Protocol --enables--> Cross Chain Asset Transfer,Cross Chain Asset Transfer | Cross-Chain Interoperability,"According to the DreamLab knowledge graph, Across Protocol enables **Cross Chain Asset Transfer** and **Cross-Chain Interoperability**. Specifically, it facilitates the fast and capital-efficient transfer of ERC-20 tokens between Ethereum mainnet and Layer 2 networks such as Optimism, Arbitrum, and Polygon.",,,,,
gpt-4.1-mini|q0027|2,gpt-4.1-mini,q0027,T-REL,all,"According to the DreamLab knowledge graph, what does RAG Pipeline use?",Chunking,uses (uses),RAG Pipeline --uses--> Chunking,Embedding Search | Vector Store | Chunking,"According to the DreamLab knowledge graph, a RAG Pipeline uses Embedding Search, Vector Store, and Chunking.",,,,,
llama-3.3-70b|q0017|4,llama-3.3-70b,q0017,T-REL,all,"According to the DreamLab knowledge graph, what are the parts of Customer Experience Management?",Service Design,hasPart (has part),Customer Experience Management --hasPart--> Service Design,Omnichannel | Sentiment Analysis | Predictive Personalization | Customer Service Automation | Service Design,"According to the provided ontology context, the parts of Customer Experience Management (CEM) are:

1. Omnichannel
2. Sentiment Analysis
3. Predictive Personalization

These are listed as ""hasPart"" relations of Customer Experience Management in the knowledge graph.",,,,,
qwen-2.5-72b|q0119|4,qwen-2.5-72b,q0119,T-REL,all,"According to the DreamLab knowledge graph, what does Data Integration enable?",Real-Time Analytics,enables (enables),Data Integration --enables--> Real-Time Analytics,Data Interoperability | Semantic Interoperability | Data Warehouse | Lakehouse Architecture | Real-Time Analytics,"According to the DreamLab knowledge graph, Data Integration enables:

- **Data Interoperability**: The ability of different systems to exchange and use data seamlessly.
- **Semantic Interoperability**: The ability to interpret and understand the meaning of data across different systems and contexts.
- **Data Warehouse**: A centralized repository that stores integrated data from multiple sources, often used for reporting and data analysis.

These capabilities are crucial for ensuring that data from various sources can be effectively combined, understood, and utilized in a consistent and meaningful way.",,,,,
gemini-3.7-flash-t0|q0453|2,gemini-3.7-flash,q0453,T-REL,all,"According to the DreamLab knowledge graph, what does Ownership and Freedom Distributed enable?",Decentralized Governance,enables (enables),Ownership and Freedom Distributed --enables--> Decentralized Governance,Self Sovereign Identity | Data Sovereignty | Decentralized Governance,"According to the knowledge graph, **Ownership and Freedom Distributed** enables:

* **Self Sovereign Identity**
* **Data Sovereignty**
* **Decentralized Governance**",,,,,
gemini-2.5-flash-lite|q0422|3,gemini-2.5-flash-lite,q0422,T-REL,all,"According to the DreamLab knowledge graph, what does Hardware Security Module enable?",Certificate Authority,enables (enables),Hardware Security Module --enables--> Certificate Authority,Public Key Infrastructure | Key Management | Code Signing | Certificate Authority | Secure Boot,"According to the DreamLab knowledge graph, a Hardware Security Module (HSM) enables:

*   **Public Key Infrastructure (PKI)**
*   **Key Management**
*   **Code Signing**",,,,,
deepseek-chat|q0227|1,deepseek-chat,q0227,T-REL,all,"According to the DreamLab knowledge graph, what does Delivery-Versus-Payment enable?",Custody Infrastructure,enables (enables),Delivery-Versus-Payment --enables--> Custody Infrastructure,Digital Asset Trading | Custody Infrastructure,"Based on the DreamLab knowledge graph, Delivery-Versus-Payment (DvP) enables **Digital Asset Trading** and **Custody Infrastructure**.",,,,,
qwen-2.5-72b|q0046|0,qwen-2.5-72b,q0046,T-TAX,all,"In the DreamLab knowledge graph, what is the immediate parent concept of Edge AI Security? Also name up to three broader ancestor concepts.",AI Governance and Ethics,subClassOf (immediate parent concept),Edge AI Security --subClassOf--> AI Governance and Ethics,AI Governance and Ethics,"In the DreamLab knowledge graph, the immediate parent concept of Edge AI Security is **AI Governance and Ethics**. The broader ancestor concepts include:

1. **Artificial Intelligence**
2. **Cybersecurity**
3. **Information Security**",,,,,
gpt-4.1-mini|q0058|0,gpt-4.1-mini,q0058,T-REL,all,"According to the DreamLab knowledge graph, what does Scalable Oversight use?",Human Feedback,uses (uses),Scalable Oversight --uses--> Human Feedback,Human Feedback | Reinforcement Learning from Human Feedback | Red Teaming,"According to the DreamLab knowledge graph, Scalable Oversight uses Human Feedback, Reinforcement Learning from Human Feedback, and Red Teaming.",,,,,
gemini-3.7-flash-t0|q0283|0,gemini-3.7-flash,q0283,T-COMMON,any,What broader concept do Stakeholder Participation and Supply Chain Risk Management both fall under in the DreamLab knowledge graph?,AI Governance and Ethics,common ancestor (shared broader concept),Stakeholder Participation --ancestorOf^-1--> AI Governance and Ethics <--ancestorOf^-1-- Supply Chain Risk Management,AI Governance and Ethics | Artificial Intelligence,"Based on the knowledge graph, both **Stakeholder Participation** and **Supply Chain Risk Management** fall under the broader concepts of:

1. **AI Governance and Ethics** (common direct/higher-level ancestor)
2. **Artificial Intelligence** (root ancestor)",,,,,
gemini-3.7-flash-t0|q0089|3,gemini-3.7-flash,q0089,T-REL,all,"According to the DreamLab knowledge graph, what are the parts of ISO 22739?",Digital Identity,hasPart (has part),ISO 22739 --hasPart--> Digital Identity,Smart Contract | Distributed Ledger | Cryptographic Key | Digital Identity,"According to the knowledge graph, the parts (`hasPart`) of **ISO 22739** are:

* **Smart Contract**
* **Distributed Ledger**
* **Cryptographic Key**",,,,,
deepseek-chat|q0507|0,deepseek-chat,q0507,T-TAX,all,"In the DreamLab knowledge graph, what is the immediate parent concept of YAML? Also name up to three broader ancestor concepts.",Data Serialization,subClassOf (immediate parent concept),YAML --subClassOf--> Data Serialization,Data Serialization,"Based on the ontology context provided, the immediate parent concept of YAML is **Data Serialization**.

Its broader ancestor concepts (up to three) are:
- **Data Format**
- **Data Management** (or **Data Management (Infrastructure)**)
- **Infrastructure**",,,,,
mistral-small-24b|q0430|1,mistral-small-24b,q0430,T-REL,all,"According to the DreamLab knowledge graph, what does Revocation Registry use?",Selective Disclosure,uses (uses),Revocation Registry --uses--> Selective Disclosure,Cryptographic Proof | Selective Disclosure | Cryptographic Accumulator | Bitstring Status List | Smart Contract,"According to the provided ontology context, a Revocation Registry uses the following:

- Cryptographic Proof
- Selective Disclosure
- Cryptographic Accumulator",,,,,
